source_unit_concept,destination_unit_concept
9330, 8533
4124422,8504
4117659,9093
4122393,8653
4119677,9573
4304727,9156
44777568,8713
44783470,8990
4117818,9014
4187196,8765
4124445,8859
4124453,8910
4212321,8843
4120599,8555
4122390,8550
4121397,8837
4122410,8587
4122414,8751
4117989,9531
4117642,8784
4124444,8861
4118325,8786
4121402,8753
4303648,9096
4121396,8840
4118305,8763
4121382,9260
4118332,9306
4186399,9612
4304247,8848
4118178,9017
4118306,8810
4117786,9093
4117840,9093
4124427,9630
4118323,8876
4118000,8645
4120722,8636
4303374,8848
4124447,8736
4122502,8906
4120725,8845
4171236,8647
4120726,8749
4117839,8985
4118319,9040
4121370,8511
4121364,8564
4246831,8838
4244975,8785
4190629,8554
4121525,8906
45757552,8873
45756942,9648
4121395,8713
4121384,8583
4122379,8588
4117806,9557
4118133,8923
4124438,8758
4122415,8748
4122417,8817
4120724,8842
4288403,8686
4122378,8582
4124451,8906
4118159,8862
4118126,8752
44777555,8554
4190519,9531
4117795,8479
4246830,8723
